ds,kelurahan,yhat,yhat_lower,yhat_upper
2019-01-01,Balai-Balai,351.5836426413179,350.853187438559,352.34094634675574
2019-02-01,Balai-Balai,352.4123779636848,351.74988573969097,353.1659041304982
2019-03-01,Balai-Balai,354.3812861105932,353.5951259586873,355.150769094241
2019-04-01,Balai-Balai,354.49701740051603,353.70641729981475,355.2747144631695
2019-05-01,Balai-Balai,354.9326924616633,354.19179195161365,355.6994752957416
2019-06-01,Balai-Balai,355.05405740955655,354.31132042163307,355.82247922978087
2019-07-01,Balai-Balai,354.5458020898833,353.794886822992,355.3426929808485
2019-08-01,Balai-Balai,353.76293073583577,353.0151970163035,354.51274327741976
2019-09-01,Balai-Balai,352.8910069427546,352.14526508887536,353.6247559938027
2019-10-01,Balai-Balai,352.5642467020547,351.82023661925354,353.2582286660145
2019-11-01,Balai-Balai,353.27400866965075,352.473159290693,354.05255642107085
2019-12-01,Balai-Balai,353.2972098475977,352.57618507474746,354.03348927354483
2020-01-01,Balai-Balai,354.3983505987105,353.6478492912295,355.11367469715486
2020-02-01,Balai-Balai,356.5635069253935,355.80870064492257,357.29475400717325
2020-03-01,Balai-Balai,358.04934878116654,357.2832918495472,358.76540196915624
2020-04-01,Balai-Balai,359.4445312829121,358.69340110058283,360.2042285735565
2020-05-01,Balai-Balai,360.1235484781656,359.37777421672837,360.8750765966345
2020-06-01,Balai-Balai,360.71505616260123,359.9556539735205,361.45158785511
2020-07-01,Balai-Balai,359.98325143316305,359.23812262992453,360.7477227916329
2020-08-01,Balai-Balai,359.76893670620115,359.0364468871353,360.51885014374176
2020-09-01,Balai-Balai,358.5778717037529,357.8061358441956,359.3137695787279
2020-10-01,Balai-Balai,358.30382915927373,357.55639594984933,359.100591582644
2020-11-01,Balai-Balai,358.0572501193744,357.31339130711194,358.7735702925672
2020-12-01,Balai-Balai,358.2998639091849,357.5746140595008,359.0134377217896
2021-01-01,Balai-Balai,359.2469793377263,358.5018800584792,360.0487718668629
2021-02-01,Balai-Balai,361.0194515176683,360.2498425190608,361.7882386453429
2021-03-01,Balai-Balai,362.7920475170046,362.09629772305885,363.54585340278595
2021-04-01,Balai-Balai,364.46908352503857,363.76165714942397,365.1966106755176
2021-05-01,Balai-Balai,365.74260486981404,364.96791852715813,366.5025262962897
2021-06-01,Balai-Balai,366.87634319566297,366.0942718969887,367.62099242228794
2021-07-01,Balai-Balai,366.74850100324386,365.9995031377109,367.4806830152327
2021-08-01,Balai-Balai,366.49082942252653,365.76339960668133,367.2324106343397
2021-09-01,Balai-Balai,365.556587255564,364.8083422618195,366.3462346488797
2021-10-01,Balai-Balai,365.1211233579542,364.3540156026691,365.920341893347
2021-11-01,Balai-Balai,365.0442444364653,364.3111949332246,365.82286853270097
2021-12-01,Balai-Balai,365.0699633939965,364.3135577832612,365.8358809330981
2022-01-01,Balai-Balai,365.67547565264385,364.9499087306571,366.4300024966708
2022-02-01,Balai-Balai,367.1826521768033,366.4512457011844,367.8887121427804
2022-03-01,Balai-Balai,369.24382378678416,368.4097769820594,369.9817683659255
2022-04-01,Balai-Balai,370.3531211284035,369.5824395118139,371.1169232682357
2022-05-01,Balai-Balai,371.4100334856863,370.6969343638387,372.1896094926976
2022-06-01,Balai-Balai,372.2470563364563,371.487265646648,372.9722595207948
2022-07-01,Balai-Balai,371.9126631791927,371.1927242410092,372.72143425761567
2022-08-01,Balai-Balai,371.37566109958425,370.57738265602467,372.14894405884917
2022-09-01,Balai-Balai,371.1343968392347,370.3237007660933,371.81179683072884
2022-10-01,Balai-Balai,370.9583913013644,370.1587872492019,371.7493503118471
2022-11-01,Balai-Balai,371.4866127187414,370.7634002422353,372.2626768562423
2022-12-01,Balai-Balai,371.71616005278685,370.9804197617302,372.49958296786855
2023-01-01,Balai-Balai,372.8967601658205,372.1142631142237,373.64087495349855
2023-02-01,Balai-Balai,374.12361834135663,373.3455533666652,374.83657617804914
2023-03-01,Balai-Balai,376.45212132338867,375.7212329594901,377.2052523784555
2023-04-01,Balai-Balai,376.7315486197913,376.0320157639,377.47487688167604
2023-05-01,Balai-Balai,377.3256391775006,376.52932480039897,378.05342922063596
2023-06-01,Balai-Balai,377.61070013850684,376.84473574499947,378.3538668597007
2023-07-01,Balai-Balai,377.07743949783395,376.3479169624209,377.8280743951333
2023-08-01,Balai-Balai,376.26872931208584,375.5540719311851,377.0409476801059
2023-09-01,Balai-Balai,375.74473732212294,374.9827116023697,376.5166985859741
2023-10-01,Balai-Balai,374.88260601481295,374.1511690622584,375.6453817905194
2023-11-01,Balai-Balai,375.03915121357886,374.2579389029021,375.7633388091742
2023-12-01,Balai-Balai,374.5245985074686,373.8441471021129,375.2785408047398
2024-01-01,Balai-Balai,375.0700602450537,374.357848414324,375.8279554682869
2024-02-01,Balai-Balai,376.67953731831807,375.8630236447877,377.42973617795616
2024-03-01,Balai-Balai,378.6421340085888,377.8563613417469,379.3615401314949
2024-04-01,Balai-Balai,380.5469509885961,379.7567312816252,381.2248130703313
2024-05-01,Balai-Balai,381.5030096307201,380.728924472138,382.2416913612157
2024-06-01,Balai-Balai,382.38079347692326,381.6239639216451,383.10134731121786
